City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Age Possession,area,colony,province,property Type,price
2.0,6.0,5.0,7.0,1.0,2.0,1.0,1.0,1634.0,94.0,0.0,1.0,1.9
2.0,2.0,5.0,6.0,1.0,2.0,1.0,5.0,1906.0,40.0,0.0,1.0,3.2
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,33.0,0.0,1.0,6.25
2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,653.0,45.0,0.0,0.0,0.54
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,1906.0,40.0,0.0,1.0,2.45
2.0,2.0,5.0,7.0,1.0,2.0,1.0,3.0,2722.0,22.0,0.0,1.0,5.4
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,2722.0,40.0,0.0,1.0,3.4
2.0,2.0,5.0,5.0,1.0,2.0,1.0,3.0,1906.0,40.0,0.0,1.0,3.3
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,4.35
2.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1906.0,40.0,0.0,1.0,2.7
2.0,2.0,5.0,5.0,1.0,2.0,0.0,3.0,1906.0,40.0,0.0,1.0,3.25
2.0,2.0,5.0,5.0,1.0,1.0,1.0,3.0,2722.0,40.0,0.0,1.0,3.9
2.0,2.0,5.0,6.0,1.0,2.0,1.0,1.0,1906.0,40.0,0.0,1.0,2.35
2.0,3.0,6.0,6.0,1.0,2.0,1.0,1.0,2722.0,40.0,0.0,1.0,3.2
2.0,2.0,7.0,7.0,1.0,3.0,2.0,3.0,1906.0,39.0,0.0,1.0,3.45
2.0,2.0,5.0,5.0,1.0,2.0,1.0,3.0,2586.0,40.0,0.0,1.0,3.85
2.0,3.0,5.0,6.0,1.0,2.0,2.0,5.0,5445.0,39.0,0.0,1.0,9.75
2.0,4.0,7.0,8.0,2.0,3.0,0.0,3.0,1361.0,102.0,0.0,1.0,1.7
2.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,1361.0,4.0,0.0,1.0,1.36
2.0,3.0,4.0,6.0,1.0,2.0,1.0,0.0,1361.0,4.0,0.0,1.0,1.65
2.0,2.0,5.0,6.0,1.0,2.0,1.0,5.0,2722.0,40.0,0.0,1.0,5.5
2.0,3.0,5.0,6.0,1.0,2.0,1.0,5.0,5445.0,34.0,0.0,1.0,11.7
