House Number,City,House Type,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society
51899118,,,,6.0,5.0,1.0,1.0,1.0,4.8, For Sale,"Bedian Road, Lahore, Punjab, ",Relatively New,21780.0,2203.86,Bedian Road,Punjab,Bedian Road
52069590,Lahore,Lahore Houses,1.0,3.0,4.0,1.0,1.0,1.0,1.95, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,1361.0,14327.7,DHA 9 Town,Punjab,DHA Defence
52100269,Lahore,Lahore Houses,,3.0,4.0,1.0,2.0,2.0,1.95, For Sale,"DHA Defence, Lahore, Punjab, ",Under Construction,1361.0,14327.7,DHA 9 Town,Punjab,DHA Defence
52113058,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,2.0,2.0,6.5, For Sale,"DHA Defence, Lahore, Punjab, ",Under Construction,5445.0,11937.56,DHA Phase 7,Punjab,DHA Defence
52100533,Lahore,Lahore Houses,1.0,4.0,4.0,1.0,2.0,1.0,1.68, For Sale,"Park View City, Lahore, Punjab, ",Relatively New,1361.0,12343.86,Park View City ,Punjab,Park View City
52017726,Lahore,Lahore Houses,,4.0,5.0,1.0,3.0,1.0,2.2, For Sale,"Pak Arab Housing Society, Lahore, Punjab, ",Undefined,1361.0,16164.58,Pak Arab Housing Society Phase 1,Punjab,Pak Arab Housing Society
52112467,Lahore,Lahore Houses,,5.0,6.0,0.0,0.0,0.0,9.0, For Sale,"DHA Defence, Lahore, Punjab, ",Undefined,5445.0,16528.93,DHA Phase 6,Punjab,DHA Defence
51857266,Lahore,Lahore Houses,2.0,3.0,2.0,1.0,2.0,1.0,1.64, For Sale,"Raiwind Road, Lahore, Punjab, ",Old Property,1361.0,12049.96,Lake City ,Punjab,Raiwind Road
51514736,Lahore,Lahore Houses,3.0,4.0,5.0,1.0,2.0,2.0,3.99, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,2722.0,14658.34,DHA Phase 8 ,Punjab,DHA Defence
52115258,Lahore,Lahore Houses,1.0,3.0,3.0,0.0,1.0,1.0,1.25, For Sale,"Jubilee Town, Lahore, Punjab, ",New Property,1361.0,9184.42,Jubilee Town ,Punjab,Jubilee Town
52077262,Lahore,Lahore Houses,,3.0,4.0,1.0,2.0,2.0,0.78, For Sale,"GT Road, Lahore, Punjab, ",New Property,817.0,9547.12,Bismillah Housing Scheme,Punjab,GT Road
52076547,Lahore,Lahore Houses,1.0,2.0,2.0,0.0,1.0,0.0,0.88, For Sale,"Al Rehman Garden, Lahore, Punjab, ",Relatively New,1089.0,8080.81,Al Ahmad Rehman Garden Phase 2,Punjab,Al Rehman Garden
52092421,Lahore,Lahore Houses,,3.0,3.0,1.0,2.0,0.0,0.95, For Sale,"GT Road, Lahore, Punjab, ",Under Construction,817.0,11627.91,Bismillah Housing Scheme,Punjab,GT Road
50936606,Lahore,Lahore Houses,1.0,5.0,5.0,0.0,2.0,1.0,2.0, For Sale,"Jubilee Town, Lahore, Punjab, ",Relatively New,1361.0,14695.08,Jubilee Town ,Punjab,Jubilee Town
50936609,Lahore,Lahore Houses,1.0,5.0,5.0,0.0,2.0,1.0,2.1, For Sale,"Jubilee Town, Lahore, Punjab, ",Relatively New,1361.0,15429.83,Jubilee Town ,Punjab,Jubilee Town
52116663,Lahore,Lahore Houses,,5.0,6.0,0.0,2.0,0.0,3.3,,"Park View City, Lahore, Punjab, ",Undefined,,,Park View City,Punjab,Park View City
51930890,Lahore,Lahore Houses,2.0,6.0,6.0,1.0,2.0,1.0,3.9, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,2722.0,14327.7,LDA Avenue,Punjab,LDA Avenue
51930891,Lahore,Lahore Houses,2.0,6.0,6.0,1.0,2.0,1.0,4.0, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,2722.0,14695.08,LDA Avenue,Punjab,LDA Avenue
52068842,Lahore,Lahore Houses,2.0,6.0,7.0,1.0,2.0,1.0,3.75, For Sale,"Jubilee Town, Lahore, Punjab, ",Relatively New,2722.0,13776.63,Jubilee Town,Punjab,Jubilee Town
52116656,Lahore,Lahore Houses,,0.0,0.0,0.0,0.0,0.0,3.3, For Sale,"Bahria Town, Lahore, Punjab, ",Relatively New,2178.0,15151.52,Bahria Town ,Punjab,Bahria Town
52116652,Lahore,Lahore Houses,,5.0,6.0,0.0,2.0,0.0,3.25,,"Park View City, Lahore, Punjab, ",Undefined,,,Park View City,Punjab,Park View City
51965333,Lahore,Lahore Houses,,5.0,6.0,2.0,2.0,1.0,8.9, For Sale,"DHA Defence, Lahore, Punjab, ",Undefined,5445.0,16345.27,DHA Phase 6,Punjab,DHA Defence
52025426,Lahore,Lahore Houses,1.0,3.0,4.0,1.0,2.0,2.0,2.6, For Sale,"DHA Defence, Lahore, Punjab, ",Under Construction,1361.0,19103.6,DHA 9 Town,Punjab,DHA Defence
52032011,Lahore,Lahore Houses,4.0,6.0,8.0,2.0,3.0,3.0,15.0, For Sale,"DHA Defence, Lahore, Punjab, ",Under Construction,5445.0,27548.21,DHA Phase 6,Punjab,DHA Defence
52032066,Lahore,Lahore Houses,,5.0,6.0,2.0,2.0,2.0,36.0, For Sale,"DHA Defence, Lahore, Punjab, ",Under Construction,10890.0,33057.85,DHA Phase 6,Punjab,DHA Defence
51493861,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,2.0,1.0,8.39, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,15408.63,DHA Phase 6,Punjab,DHA Defence
51248431,Lahore,Lahore Houses,,5.0,5.0,2.0,3.0,1.0,6.58, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,12084.48,DHA Phase 7,Punjab,DHA Defence
52007184,Lahore,Lahore Houses,1.0,3.0,3.0,0.0,1.0,1.0,3.25, For Sale,"Central Park Housing Scheme, Lahore, Punjab, ",Under Construction,2722.0,11939.75,Central Park Housing Scheme,Punjab,Central Park Housing Scheme
52055246,Lahore,Lahore Houses,,3.0,4.0,0.0,2.0,1.0,1.1, For Sale,"Central Park Housing Scheme, Lahore, Punjab, ",Relatively New,817.0,13463.89,Central Park ,Punjab,Central Park Housing Scheme
52080451,Lahore,Lahore Houses,,5.0,6.0,1.0,2.0,1.0,2.6, For Sale,"Central Park Housing Scheme, Lahore, Punjab, ",New Property,2722.0,9551.8,Central Park Housing Scheme,Punjab,Central Park Housing Scheme
52030871,Lahore,Lahore Houses,,6.0,6.0,1.0,2.0,1.0,5.0, For Sale,"Raiwind Road, Lahore, Punjab, ",Relatively New,2722.0,18368.85,Lake City,Punjab,Raiwind Road
50353585,Lahore,Lahore Houses,,4.0,4.0,1.0,2.0,1.0,1.35, For Sale,"Jubilee Town, Lahore, Punjab, ",Undefined,817.0,16523.87,Jubilee Town ,Punjab,Jubilee Town
50435113,Lahore,Lahore Houses,4.0,6.0,7.0,1.0,3.0,1.0,5.9, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,5445.0,10835.63,LDA Avenue,Punjab,LDA Avenue
50438309,Lahore,Lahore Houses,2.0,6.0,7.0,1.0,2.0,1.0,2.75, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,2722.0,10102.87,LDA Avenue,Punjab,LDA Avenue
50756601,Lahore,Lahore Houses,2.0,6.0,7.0,1.0,2.0,1.0,3.55, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,2722.0,13041.88,LDA Avenue,Punjab,LDA Avenue
50761072,Lahore,Lahore Houses,2.0,5.0,6.0,1.0,2.0,1.0,4.2, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,2722.0,15429.83,LDA Avenue ,Punjab,LDA Avenue
50793271,Lahore,Lahore Houses,2.0,5.0,5.0,1.0,2.0,1.0,3.2, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,2722.0,11756.06,LDA Avenue ,Punjab,LDA Avenue
50793354,Lahore,Lahore Houses,,7.0,6.0,0.0,2.0,1.0,3.5, For Sale,"LDA Avenue, Lahore, Punjab, ",Undefined,2722.0,12858.19,LDA Avenue ,Punjab,LDA Avenue
50793503,Lahore,Lahore Houses,2.0,5.0,5.0,1.0,2.0,1.0,3.4, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,2722.0,12490.82,LDA Avenue ,Punjab,LDA Avenue
52089465,Lahore,Lahore Houses,1.0,3.0,4.0,0.0,2.0,2.0,3.0, For Sale,"DHA Defence, Lahore, Punjab, ",Under Construction,1361.0,22042.62,DHA 9 Town ,Punjab,DHA Defence
51999598,Lahore,Lahore Houses,2.0,5.0,6.0,1.0,2.0,1.0,3.05, For Sale,"Central Park Housing Scheme, Lahore, Punjab, ",Relatively New,2722.0,11205.0,Central Park Housing Scheme,Punjab,Central Park Housing Scheme
52040361,Lahore,Lahore Houses,,3.0,4.0,1.0,2.0,0.0,2.25, For Sale,"Central Park Housing Scheme, Lahore, Punjab, ",Undefined,1361.0,16531.96,Central Park ,Punjab,Central Park Housing Scheme
48686131,Lahore,Lahore Houses,,3.0,4.0,0.0,2.0,0.0,2.0, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,1361.0,14695.08,DHA 9 Town,Punjab,DHA Defence
52027107,Lahore,Lahore Houses,2.0,5.0,6.0,1.0,2.0,1.0,4.0, For Sale,"Jubilee Town, Lahore, Punjab, ",Undefined,2722.0,14695.08,Jubilee Town ,Punjab,Jubilee Town
50280209,Lahore,Lahore Houses,4.0,10.0,11.0,2.0,4.0,2.0,14.0, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,25711.66,DHA Phase 5 ,Punjab,DHA Defence
52027108,Lahore,Lahore Houses,2.0,6.0,6.0,1.0,2.0,1.0,3.5, For Sale,"Jubilee Town, Lahore, Punjab, ",Relatively New,2722.0,12858.19,Jubilee Town ,Punjab,Jubilee Town
51981179,Lahore,Lahore Houses,1.0,3.0,4.0,2.0,2.0,1.0,0.85, For Sale,"Ferozepur Road, Lahore, Punjab, ",Relatively New,817.0,10403.92,Awan Market,Punjab,Ferozepur Road
51821727,Lahore,Lahore Houses,2.0,4.0,5.0,0.0,0.0,0.0,3.85, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,2722.0,14144.01,Air Avenue ,Punjab,DHA Defence
51524124,Lahore,Lahore Houses,1.0,3.0,4.0,2.0,2.0,1.0,1.15, For Sale,"Al Rehman Garden, Lahore, Punjab, ",Relatively New,817.0,14075.89,Al Ahmad Rehman Garden Phase 2,Punjab,Al Rehman Garden
50417671,Lahore,Lahore Houses,,2.0,3.0,0.0,1.0,1.0,2.5, For Sale,"Awasia Housing Society, Lahore, Punjab, ",Undefined,2722.0,9184.42,Awasia Housing Society,Punjab,Awasia Housing Society
50291588,Lahore,Lahore Houses,,6.0,6.0,1.0,2.0,1.0,3.2, For Sale,Nasheman,Relatively New,2722.0,11756.06,Nasheman,Punjab,Nasheman
52097124,Lahore,Lahore Houses,,5.0,5.0,0.0,2.0,0.0,2.5, For Sale,"Military Accounts Housing Society, Lahore, Punjab, ",Undefined,2178.0,11478.42,Military Accounts Housing Society,Punjab,Military Accounts Housing Society
50199073,Lahore,Lahore Houses,2.0,6.0,7.0,1.0,3.0,1.0,3.8, For Sale,"LDA Avenue, Lahore, Punjab, ",Relatively New,2722.0,13960.32,LDA Avenue,Punjab,LDA Avenue
50213992,Lahore,Lahore Houses,1.0,6.0,6.0,1.0,3.0,1.0,2.9, For Sale,"Defence Road, Lahore, Punjab, ",Relatively New,1634.0,17747.86,Dream Gardens,Punjab,Defence Road
